pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
53.8,-11.6,0.0,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
60.2,-11.6,180.0,top,C10,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
60.4,-9.8,180.0,top,C11,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
60.4,-8.0,180.0,top,C12,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
70.4,-11.6,0.0,top,C13,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
70.6,-9.8,0.0,top,C14,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
70.6,-8.0,0.0,top,C15,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
74.4,-11.6,180.0,top,C16,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
74.2,-9.8,180.0,top,C17,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
74.2,-8.0,180.0,top,C18,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
37.06,-18.419999,180.0,top,C19,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
53.6,-9.8,0.0,top,C2,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
19.291333,-17.033365,-45.0,top,C20,,C_0402_1005Metric,12pF,smt,True
22.194635,-13.95235,-45.0,top,C21,,C_0402_1005Metric,12pF,smt,True
25.5,-34.55,-45.0,top,C22,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7uF,smt,True
48.5,-30.39,90.0,top,C23,,C_0402_1005Metric,100nF,smt,True
60.625,-18.9875,0.0,top,C24,,C_0402_1005Metric,100nF,smt,True
24.3,-17.4,45.0,top,C25,,C_0402_1005Metric,100nF,smt,True
31.59,-20.69,45.0,top,C26,,C_0402_1005Metric,100nF,smt,True
7.0,-5.0,0.0,top,C27,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
22.51,-31.55,-135.0,top,C28,,C_0402_1005Metric,100nF,smt,True
6.9,-8.0,0.0,top,C29,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
53.6,-8.0,0.0,top,C3,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
22.7,-18.55,135.0,top,C30,,C_0402_1005Metric,100nF,smt,True
25.35,-32.5,-45.0,top,C31,,C_0402_1005Metric,100nF,smt,True
21.0,-29.15,-135.0,top,C32,,C_0402_1005Metric,100nF,smt,True
6.9,-10.8,0.0,top,C33,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
22.0,-19.25,135.0,top,C34,,C_0402_1005Metric,100nF,smt,True
30.18,-19.28,45.0,top,C35,,C_0402_1005Metric,100nF,smt,True
28.2,-17.6,45.0,top,C36,,C_0402_1005Metric,100nF,smt,True
21.19,-19.87,135.0,top,C37,,C_0402_1005Metric,100nF,smt,True
31.44,-28.84,-45.0,top,C38,,C_0402_1005Metric,100nF,smt,True
21.77,-30.79,-135.0,top,C39,,C_0402_1005Metric,100nF,smt,True
49.8,-11.6,180.0,top,C4,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
2.8,-3.5,180.0,top,C40,,C_0402_1005Metric,100nF,smt,True
30.88,-20.0,45.0,top,C41,,C_0402_1005Metric,100nF,smt,True
30.69,-29.54,-45.0,top,C42,,C_0402_1005Metric,100nF,smt,True
23.35,-32.1,-135.0,top,C43,,C_0402_1005Metric,100nF,smt,True
19.45,-28.95,-135.0,top,C44,,C_0402_1005Metric,100nF,smt,True
28.8,-18.4,45.0,top,C45,,C_0402_1005Metric,100nF,smt,True
32.3,-21.4,45.0,top,C46,,C_0402_1005Metric,100nF,smt,True
50.0,-9.8,180.0,top,C5,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
50.0,-8.0,180.0,top,C6,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
64.2,-11.6,0.0,top,C7,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt,True
63.9375,-9.8,0.0,top,C8,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1uF,smt,True
63.9,-8.0,0.0,top,C9,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt,True
17.595666,-39.604334,45.0,top,D1,,SOT-23-3,D_TVS_Dual_AAC,smt,True
0.0,-50.0,0.0,top,H1,,MountingHole_2.7mm_M2.5_Pad_Via,MountingHole_Pad,tht,False
0.0,-0.0,0.0,top,H2,,MountingHole_2.7mm_M2.5_Pad_Via,MountingHole_Pad,tht,False
80.0,-50.0,0.0,top,H3,,MountingHole_2.7mm_M2.5_Pad_Via,MountingHole_Pad,tht,False
80.0,-0.0,0.0,top,H4,,MountingHole_2.7mm_M2.5_Pad_Via,MountingHole_Pad,tht,False
25.7,-24.7,-45.0,top,IC1,,QFN35P900X900X90-89N-D,T31ZX,smt,True
14.1425,-48.8675,0.0,top,J1,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB Type-C,smt,True
40.03,-46.72,90.0,top,J10,,Jack_3.5mm_PJ320D_Horizontal,AudioJack4_Ground,smt,True
